"catch.SL","month","long","lat"
7,"Sep",-61.1921051122612,12.554467978203
9,"Sep",-61.1538393420647,12.4132917775202
10,"Sep",-61.1774397786222,12.5476675587565
8,"Sep",-61.177913007464,12.5865398690742
7,"Sep",-61.1716397371963,12.4757418500526
8,"Sep",-61.1207666089546,12.3983525938134
19,"Sep",-61.2018384592582,12.5768318424666
17,"Sep",-61.1675274382457,12.5324647768527
14,"Sep",-61.1850356935902,12.5383525224362
14,"Sep",-61.2000448528722,12.5016013144322
9,"Oct",-61.40064410393,13.004558298197
10,"Oct",-61.2768594379599,12.8580796186144
5,"Oct",-61.1474096067793,13.0129019884952
10,"Oct",-61.2050471880964,12.739993581004
16,"Oct",-61.2746542919863,13.0416438457783
9,"Oct",-61.2438758545635,13.1204238277917
12,"Oct",-61.2315229050025,13.0152125517396
10,"Oct",-61.2366614351381,12.6847686113781
9,"Oct",-61.423621737674,12.9971778904054
16,"Oct",-61.3077435169357,13.1635662950869
