"year","month","area","boat","nominal"
2013,1,1,1,0.406246650298078
2013,1,2,2,999998.675545533
2013,1,2,3,1000000.0309849
2013,1,1,4,2.6243403986918
2013,1,2,5,1000000.83952168
2013,1,2,6,999998.906098453
2013,1,1,7,3.70349975124362
2013,1,2,8,999997.884634849
2013,1,2,9,999999.024942526
2013,1,2,10,1000001.69539787
2013,2,1,1,0
2013,2,2,2,10000000.146634
2013,2,2,3,10000000.629382
2013,2,1,4,0.316025919046515
2013,2,2,5,9999998.52421084
2013,2,2,6,10000000.989679
2013,2,1,7,0
2013,2,2,8,9999998.9970013
2013,2,2,9,9999995.02004752
2013,2,2,10,10000001.8362163
2013,3,1,1,2.08234410211635
2013,3,2,2,18999997.8990396
2013,3,2,3,18999996.2952916
2013,3,1,4,2.37476904696039
2013,3,2,5,19000000.9870497
2013,3,2,6,19000003.9605091
2013,3,1,7,0
2013,3,2,8,18999997.7987072
2013,3,2,9,18999999.9704357
2013,3,2,10,18999997.2747185
2013,4,1,1,4.08854184154254
2013,4,2,2,28000000.2474603
2013,4,2,3,27999999.4754354
2013,4,1,4,0
2013,4,2,5,27999997.3156722
2013,4,2,6,27999995.2172013
2013,4,1,7,0.631821627503939
2013,4,2,8,27999997.4077869
2013,4,2,9,27999999.6066951
2013,4,2,10,27999998.8050674
2013,5,1,1,0
2013,5,2,2,37000000.2897725
2013,5,2,3,36999999.4352206
2013,5,1,4,0.0597886545151996
2013,5,2,5,37000001.733027
2013,5,2,6,36999999.8867351
2013,5,1,7,0.02997722385851
2013,5,2,8,37000000.7919349
2013,5,2,9,37000000.8956017
2013,5,2,10,36999998.918214
2013,6,1,1,0.743642354076841
2013,6,2,2,45999996.6513625
2013,6,2,3,46000001.1447014
2013,6,1,4,2.33585038124462
2013,6,2,5,46000000.9323554
2013,6,2,6,45999998.8598377
2013,6,1,7,0
2013,6,2,8,45999998.9481827
2013,6,2,9,45999998.7962454
2013,6,2,10,45999997.8628033
2013,7,1,1,0.708183370725376
2013,7,2,2,55000000.4199285
2013,7,2,3,55000003.6500644
2013,7,1,4,0.0126960650983117
2013,7,2,5,54999999.6510589
2013,7,2,6,54999999.0991387
2013,7,1,7,0
2013,7,2,8,54999998.5641616
2013,7,2,9,55000003.1789909
2013,7,2,10,54999999.7027424
2013,8,1,1,0.857048110949587
2013,8,2,2,64000002.7532989
2013,8,2,3,64000006.3882473
2013,8,1,4,2.26988345523864
2013,8,2,5,63999999.7895377
2013,8,2,6,63999999.640702
2013,8,1,7,0
